[2019-12-22 18:31:54.730] [log] [debug] Sink file:"../../logs/log.log" attached to logger
[2019-12-22 18:31:54.740] [log] [trace] Starting cycle 0 (0% Complete)
[2019-12-22 18:31:54.745] [log] [trace] Starting cycle 1 (0.666667% Complete)
[2019-12-22 18:31:54.750] [log] [trace] Starting cycle 2 (1.33333% Complete)
[2019-12-22 18:31:54.754] [log] [trace] Starting cycle 3 (2% Complete)
[2019-12-22 18:31:54.759] [log] [trace] Starting cycle 4 (2.66667% Complete)
[2019-12-22 18:31:54.764] [log] [trace] Starting cycle 5 (3.33333% Complete)
[2019-12-22 18:31:54.769] [log] [trace] Starting cycle 6 (4% Complete)
[2019-12-22 18:31:54.774] [log] [trace] Starting cycle 7 (4.66667% Complete)
[2019-12-22 18:31:54.779] [log] [trace] Starting cycle 8 (5.33333% Complete)
[2019-12-22 18:31:54.784] [log] [trace] Starting cycle 9 (6% Complete)
[2019-12-22 18:31:54.788] [log] [trace] Starting cycle 10 (6.66667% Complete)
[2019-12-22 18:31:54.793] [log] [trace] Starting cycle 11 (7.33333% Complete)
[2019-12-22 18:31:54.798] [log] [trace] Starting cycle 12 (8% Complete)
[2019-12-22 18:31:54.803] [log] [trace] Starting cycle 13 (8.66667% Complete)
[2019-12-22 18:31:54.808] [log] [trace] Starting cycle 14 (9.33333% Complete)
[2019-12-22 18:31:54.813] [log] [trace] Starting cycle 15 (10% Complete)
[2019-12-22 18:31:54.818] [log] [trace] Starting cycle 16 (10.6667% Complete)
[2019-12-22 18:31:54.823] [log] [trace] Starting cycle 17 (11.3333% Complete)
[2019-12-22 18:31:54.827] [log] [trace] Starting cycle 18 (12% Complete)
[2019-12-22 18:31:54.832] [log] [trace] Starting cycle 19 (12.6667% Complete)
[2019-12-22 18:31:54.837] [log] [trace] Starting cycle 20 (13.3333% Complete)
[2019-12-22 18:31:54.842] [log] [trace] Starting cycle 21 (14% Complete)
[2019-12-22 18:31:54.847] [log] [trace] Starting cycle 22 (14.6667% Complete)
[2019-12-22 18:31:54.852] [log] [trace] Starting cycle 23 (15.3333% Complete)
[2019-12-22 18:31:54.857] [log] [trace] Starting cycle 24 (16% Complete)
[2019-12-22 18:31:54.862] [log] [trace] Starting cycle 25 (16.6667% Complete)
[2019-12-22 18:31:54.867] [log] [trace] Starting cycle 26 (17.3333% Complete)
[2019-12-22 18:31:54.871] [log] [trace] Starting cycle 27 (18% Complete)
[2019-12-22 18:31:54.876] [log] [trace] Starting cycle 28 (18.6667% Complete)
[2019-12-22 18:31:54.881] [log] [trace] Starting cycle 29 (19.3333% Complete)
[2019-12-22 18:31:54.886] [log] [trace] Starting cycle 30 (20% Complete)
[2019-12-22 18:31:54.891] [log] [trace] Starting cycle 31 (20.6667% Complete)
[2019-12-22 18:31:54.896] [log] [trace] Starting cycle 32 (21.3333% Complete)
[2019-12-22 18:31:54.900] [log] [trace] Starting cycle 33 (22% Complete)
[2019-12-22 18:31:54.905] [log] [trace] Starting cycle 34 (22.6667% Complete)
[2019-12-22 18:31:54.910] [log] [trace] Starting cycle 35 (23.3333% Complete)
[2019-12-22 18:31:54.915] [log] [trace] Starting cycle 36 (24% Complete)
[2019-12-22 18:31:54.920] [log] [trace] Starting cycle 37 (24.6667% Complete)
[2019-12-22 18:31:54.925] [log] [trace] Starting cycle 38 (25.3333% Complete)
[2019-12-22 18:31:54.930] [log] [trace] Starting cycle 39 (26% Complete)
[2019-12-22 18:31:54.935] [log] [trace] Starting cycle 40 (26.6667% Complete)
[2019-12-22 18:31:54.940] [log] [trace] Starting cycle 41 (27.3333% Complete)
[2019-12-22 18:31:54.944] [log] [trace] Starting cycle 42 (28% Complete)
[2019-12-22 18:31:54.949] [log] [trace] Starting cycle 43 (28.6667% Complete)
[2019-12-22 18:31:54.953] [log] [trace] Starting cycle 44 (29.3333% Complete)
[2019-12-22 18:31:54.958] [log] [trace] Starting cycle 45 (30% Complete)
[2019-12-22 18:31:54.962] [log] [trace] Starting cycle 46 (30.6667% Complete)
[2019-12-22 18:31:54.968] [log] [trace] Starting cycle 47 (31.3333% Complete)
[2019-12-22 18:31:54.972] [log] [trace] Starting cycle 48 (32% Complete)
[2019-12-22 18:31:54.976] [log] [trace] Starting cycle 49 (32.6667% Complete)
[2019-12-22 18:31:54.981] [log] [trace] Starting cycle 50 (33.3333% Complete)
[2019-12-22 18:31:54.986] [log] [trace] Starting cycle 51 (34% Complete)
[2019-12-22 18:31:54.990] [log] [trace] Starting cycle 52 (34.6667% Complete)
[2019-12-22 18:31:54.995] [log] [trace] Starting cycle 53 (35.3333% Complete)
[2019-12-22 18:31:54.999] [log] [trace] Starting cycle 54 (36% Complete)
[2019-12-22 18:31:55.004] [log] [trace] Starting cycle 55 (36.6667% Complete)
[2019-12-22 18:31:55.008] [log] [trace] Starting cycle 56 (37.3333% Complete)
[2019-12-22 18:31:55.013] [log] [trace] Starting cycle 57 (38% Complete)
[2019-12-22 18:31:55.018] [log] [trace] Starting cycle 58 (38.6667% Complete)
[2019-12-22 18:31:55.022] [log] [trace] Starting cycle 59 (39.3333% Complete)
[2019-12-22 18:31:55.027] [log] [trace] Starting cycle 60 (40% Complete)
[2019-12-22 18:31:55.031] [log] [trace] Starting cycle 61 (40.6667% Complete)
[2019-12-22 18:31:55.036] [log] [trace] Starting cycle 62 (41.3333% Complete)
[2019-12-22 18:31:55.040] [log] [trace] Starting cycle 63 (42% Complete)
[2019-12-22 18:31:55.045] [log] [trace] Starting cycle 64 (42.6667% Complete)
[2019-12-22 18:31:55.049] [log] [trace] Starting cycle 65 (43.3333% Complete)
[2019-12-22 18:31:55.054] [log] [trace] Starting cycle 66 (44% Complete)
[2019-12-22 18:31:55.058] [log] [trace] Starting cycle 67 (44.6667% Complete)
[2019-12-22 18:31:55.063] [log] [trace] Starting cycle 68 (45.3333% Complete)
[2019-12-22 18:31:55.068] [log] [trace] Starting cycle 69 (46% Complete)
[2019-12-22 18:31:55.072] [log] [trace] Starting cycle 70 (46.6667% Complete)
[2019-12-22 18:31:55.076] [log] [trace] Starting cycle 71 (47.3333% Complete)
[2019-12-22 18:31:55.081] [log] [trace] Starting cycle 72 (48% Complete)
[2019-12-22 18:31:55.085] [log] [trace] Starting cycle 73 (48.6667% Complete)
[2019-12-22 18:31:55.090] [log] [trace] Starting cycle 74 (49.3333% Complete)
[2019-12-22 18:31:55.094] [log] [trace] Starting cycle 75 (50% Complete)
[2019-12-22 18:31:55.099] [log] [trace] Starting cycle 76 (50.6667% Complete)
